Country,HofstederPowerDx,HofstederIndividuality,HofstederMasculinity,HofstederUncertaintyAvoidance,HofstederLongtermOrientation,HofstederIndulgence,Patents,PatentsPerCapita,Diversity_Ethnic,Diversity_Linguistic,Diversity_Religious,ReligionMatters,Protestantism,Religiosity,IQ,Gini,Employment,Unemployment,EduReading,EduScience,TertiaryEdu,LifeExpectancy,InfantDeath,Obesity,HoursWorked,Prison,Carvandalism,Cartheft,Theftfromcar,Motorcycletheft,Bicycletheft,Assaultsandthreats,Sexualincidents,Burglaries,Robberies,PISAMath,PISAScience,PISAReading
Australia,36,90,61,51,21,71,1917,426,0.09,0.33,0.82,0.37,0.38,,98,35.2,69.21,22.12,528.28,527.5,35.8,79.7,5.3,21.7,1837,93.38,9.2,1.9,6.8,0.1,2,6.4,4,3.9,1.2,494,510,503
Austria,11,55,79,70,60,63,1262,240,0.11,0.15,0.41,0.42,0.04,,102,30,65.82,19.21,507.13,518.64,14.78,78.6,4.8,9.1,1593,,6.7,0.1,1.6,0,3.3,2.1,3.8,0.9,0.2,497,495,485
Belgium,65,75,54,94,82,57,1225,50,0.56,0.54,0.21,0.33,0.01,,100,25,59.65,49.61,507.13,495.74,37.64,78,4.5,11.7,1548,,6.1,0.7,3.6,0.3,3.5,3.2,1.1,2,1,507,502,499
Canada,39,80,52,48,36,68,7492,124,0.71,0.58,0.7,0.42,0.29,30,97,33.1,71.47,9.7,534.31,529.36,51.22,79.7,5.2,14.9,1749,,5.5,1.4,5.4,0.1,3.5,5.3,2.1,2.3,0.9,516,528,527
Denmark,18,74,16,23,35,70,1190,341,0.08,0.1,0.23,0.18,0.91,,98,24.7,76.43,19.66,496.87,481.01,30.57,77,4.9,9.5,1495,42.86,3.8,1.1,3.4,0.7,6.7,3.6,2.5,3.1,0.7,511,502,500
Finland,33,63,26,59,38,57,1485,383,0.13,0.14,0.25,0.28,0.85,,97,26.9,67.68,24.39,546.47,537.74,39.24,78.1,3.2,12.8,1734,49.55,3.7,0.4,2.9,0.1,4.9,4.2,3.7,0.3,0.6,511,531,526
France,68,71,43,86,63,48,7026,235,0.1,0.12,0.4,0.37,0.02,11,98,32.7,62.17,33.76,504.74,500.49,36.05,79.2,4.5,9.4,1475,,8.2,1.7,5.5,0.3,1.8,4.2,1.1,1,1.1,493,495,499
Germany,35,67,66,65,83,40,17752,586,0.17,0.16,0.66,0.51,0.3,21,102,28.3,65.32,47.86,483.99,487.11,21.74,78.5,4.3,12.9,1450,64.97,,,,,,,,,,506,509,509
Greece,60,35,57,112,45,50,77,44,0.16,0.03,0.15,0.72,0,,92,35.4,56.86,52.41,473.8,460.55,24.08,78.1,5.1,,1928,,,,,,,,,,,454,455,467
Iceland,30,60,10,50,28,67,59,197,0.08,0.08,0.19,,0.8,,102,27,82.82,11.08,506.93,495.91,29.06,80.3,2.7,12.4,1847,22.06,,,,,,,,,,488,473,482
Ireland,28,70,68,35,24,65,515,193,0.12,0.03,0.16,0.47,0.05,,93,35.9,64.95,29.29,526.67,513.37,36.31,77.2,5.7,13,1680,,,,,,,,,,,504,503,521
Italy,50,76,70,75,61,30,3090,138,0.11,0.11,0.3,0.72,0.01,27,102,36,55.63,59.19,487.47,477.6,12.46,79.8,4.7,8.6,1601,50.77,7.6,2.7,7,1.5,2.3,0.8,1.7,2.4,1.3,490,481,485
Japan,54,46,95,92,88,42,54422,2836,0.01,0.02,0.54,0.16,0,12,105,24.9,68.23,30.84,522.23,550.4,50.33,81.5,3.1,3.6,1809,39.25,4.4,0.1,1.6,1,6.6,0.4,1.2,1.1,0.1,532,538,516
Korea,60,18,39,85,100,29,20201,2184,0,0,0.66,0.52,0.18,25,106,31.6,63.33,2.48,524.75,552.12,41.22,76.4,,3.2,2447,78.58,,,,,,,,,,524,516,517
Luxembourg,40,60,50,70,64,56,62,36,0.53,0.64,0.09,,0.01,,100,30.8,63.63,27.43,441.25,443.07,22.59,78,5.9,18.4,,,,,,,,,,,,486,483,481
Netherlands,38,80,14,53,67,68,2788,134,0.11,0.51,0.72,0.43,0.21,,102,32.6,73.18,26.68,513.12,524.37,27.68,78.3,5.4,10,1368,34.81,8.9,0.4,3.9,0.6,7,3.4,3,1.9,0.8,512,509,503
New Zealand,22,79,58,49,33,75,352,389,0.4,0.17,0.81,0.33,0.47,,100,36.2,72.41,14.43,528.8,527.69,29.32,78.5,,17,1817,132.27,7.9,2.7,6.9,0.3,4.4,5.7,2.7,4.3,0.7,495,513,509
Norway,31,69,8,50,35,55,687,283,0.06,0.07,0.2,0.21,0.9,,98,25.8,77.11,6.38,505.28,500.34,39.72,78.9,3.9,8.3,1360,,4.6,1.1,2.8,0.3,2.8,3,2.2,0.7,0.5,502,498,513
Portugal,63,27,31,104,28,33,67,12,0.05,0.02,0.14,0.72,0.03,,95,38.5,68.14,35.52,470.15,459,15.04,76.9,5,12.8,1696,85.42,6.3,0.9,4.9,0.3,0.8,0.9,0.6,1.4,1.1,492,501,498
Spain,57,51,42,86,48,44,912,67,0.42,0.41,0.45,0.52,0.04,,99,32.5,59.46,40.2,492.55,490.94,36.7,79.3,3.5,12.6,1816,110.66,6.6,1.4,9.6,0.8,1.1,3.1,2.3,1.6,3.1,486,493,496
Sweden,31,71,5,29,53,78,2862,306,0.06,0.2,0.23,0.17,0.86,,101,25,74.91,20.97,516.33,512.13,39.17,79.9,3.7,10.4,1603,,4.6,1.3,5.3,0.4,7.2,3.8,2.6,1.7,0.9,494,493,500
Switzerland,34,68,70,58,74,66,2841,251,0.53,0.54,0.61,0.42,0.35,,101,33.1,78.87,21.75,494.37,495.67,26.46,80.2,5,7.7,1573,48.38,3.9,0.3,1.7,0.2,4.7,2.4,2.1,1.1,0.7,521,506,492
United Kingdom,35,89,66,35,51,69,7167,314,0.12,0.05,0.69,0.27,0.6,33,100,36,72.66,23.1,523.44,532.02,31.21,78.1,5.5,22.4,1711,90.15,8.8,2.1,6.4,0.4,2.4,6.1,2.7,2.8,1.2,492,509,498
United States,40,91,62,46,26,68,155982,630,0.49,0.56,0.82,0.6,0.48,59,98,40.8,71.93,8.52,504.42,499.46,39.34,77.1,6.8,30.6,1806,468.49,7.2,0.5,6.4,0.3,2.1,3.4,1.5,1.8,0.6,470,496,497
